Date;Carne Vacuna;Trigo;Soja;Energy;Maiz;Oro;Metal Index;;
2010-01;3.02;201.19;435.88;98.50;167.31;1117.96;90.86;;Fuente:
2010-02;3.21;194;411.86;95.60;161.80;1095.41;87.59;;https://www.bcsf.com.ar/ces/base-datos/preview/6/precios-internacionales-de-los-commodities
2010-03;3.4;191.08;409.36;99.58;159.05;1113.34;90.05;;
2010-04;3.66;192.87;402.6;104.85;157.08;1148.69;93.42;;
2010-05;3.58;181.61;402.87;95.68;163.38;1205.43;97.19;;
2010-06;3.33;157.67;401.33;95.10;152.75;1232.92;98.81;;
2010-07;3.27;195.82;427.53;94.88;163.76;1192.97;95.76;;
2010-08;3.41;246.25;449.84;96.45;175.58;1215.81;97.64;;
2010-09;3.39;271.67;468.26;97.23;205.89;1270.98;103.28;;
2010-10;3.37;270.23;495.79;102.19;235.81;1342.02;110.66;;
2010-11;3.5;274.08;514.15;106.09;238.18;1369.89;115.39;;
2010-12;3.88;306.52;545.75;113.85;250.38;1390.55;119.36;;
2011-01;4.19;326.56;567.62;120.13;264.95;1360.46;116.83;;
2011-02;4.08;348.12;566.05;127.44;292.90;1374.68;119.95;;
2011-03;4.19;316.75;552.75;138.37;290.54;1423.26;127.65;;
2011-04;4.33;336.12;556.58;148.26;319.27;1480.89;137.83;;
2011-05;4.16;355.28;556.8;139.06;307.86;1512.58;134.79;;
2011-06;3.94;326.43;556.22;138.72;310.61;1529.36;134.37;;
2011-07;3.94;303.88;556.5;141.94;300.77;1572.75;139.10;;
2011-08;3.93;327.07;552.96;134.60;310.22;1759.01;153.29;;
2011-09;3.83;315.92;531.95;135.39;295.26;1772.14;151.97;;
2011-10;3.92;289.01;491.42;133.59;274.79;1666.43;139.01;;
2011-11;4.2;281.01;478.35;133.97;274.39;1739.00;144.79;;
2011-12;4.22;269.03;483.03;131.09;258.65;1639.97;135.60;;
2012-01;4.26;274.89;503.18;134.11;272.84;1654.05;136.91;;
2012-02;4.31;277.77;522.96;142.79;279.46;1744.82;146.28;;
2012-03;4.35;283.88;547.46;147.88;280.69;1675.95;140.78;;
2012-04;4.29;266.32;583.83;142.43;274.00;1649.20;137.60;;
2012-05;4.22;264.36;577.48;132.28;269.28;1589.04;130.91;;
2012-06;4.12;276.19;578.01;115.97;267.31;1598.76;130.78;;
2012-07;4.03;345.69;670.19;124.56;333.05;1594.29;129.94;;
